layer,question,metric,run_id_or_group,value,unit,evidence_type,time_basis,source_file,source_locator,availability,confidence
L1,What temporal disturbance entered the closed loop?,bridge_delay_actual_wall_data_observed_ms,202607271031,19.282224,ms,direct observed,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/log/scb_control_delay_20260727102741_595351.csv,SCB requested/actual delay and lifecycle rows,available,high: independent bridge/SCB log
L2,Did update continuity or freshness degrade?,target_gap_max_ms,202607271031,117.22302436828612,ms,diagnostic,message header/source,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/log/perception.log.INFO.20260727-102810.5491,stable target Fusion observations,available,medium-high: target ID continuity checked
L2,Did update continuity or freshness degrade?,data_age_target_at_t2_data_observed_ms,202607271031,299.6549606323242,ms,data-derived,wall/header aligned,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/log/perception.log.INFO.20260727-102810.5491,last target source timestamp preceding physical t2,available,medium: source/header semantics from parser
L3,How long from target source to sustained physical response?,T_e2e_data_observed_ms,202607271031,299.6549606323242,ms,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/log/localization.log.INFO.20260727-102803.5453,t2_wall_s - t1_wall_s; t1 also uses Fusion source timestamp,available,high: common wall time and fixed endpoints
L4,Was the independently derived 0 m contact deadline missed?,tau_dynamic_data_derived_ms,202607271031,640.7883522772328,ms,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/log/localization.log.INFO.20260727-102803.5453,(D1 - full observed D_brake) / v1,available,medium-high: same-run full-stop braking envelope
L4,What does a baseline-calibrated independent deadline predict?,tau_dynamic_model_predicted_ms,202607271031,1056.3206244296296,ms,model-predicted,wall,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_six_layer_analysis/tables/run_level_model_predicted.csv,baseline median effective-deceleration model,available,medium: descriptive in-sample calibration
L5,How much distance was consumed before physical response?,D_delay_wall_integral_data_observed_m,202607271031,4.673487170470926,m,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/log/localization.log.INFO.20260727-102803.5453,trapezoidal integral of speed from t1 to t2,available,high: common wall-clock integration
L5,How much incremental distance was traveled after the data-derived deadline?,D_distance_debt_data_derived_m,202607271031,0.0,m,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/log/localization.log.INFO.20260727-102803.5453,trapezoidal integral from t_deadline to t2,available,medium-high: observed full-stop deadline
L6,What physical safety outcome was observed?,outcome_data_observed,202607271031,safe_stop,category,direct observed,wall/sim evidence separated,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/log/localization.log.INFO.20260727-102803.5453,CollisionSensor/actor history for collisions; braking endpoint and event absence for stops,available,MEDIUM_HIGH_STOP_TRAJECTORY_NO_ACTOR_HISTORY
L1,What temporal disturbance entered the closed loop?,bridge_delay_actual_wall_data_observed_ms,202607271048,0.08511,ms,direct observed,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271048/log/scb_control_delay_20260727104601_519735.csv,SCB requested/actual delay and lifecycle rows,available,high: independent bridge/SCB log
L2,Did update continuity or freshness degrade?,target_gap_max_ms,202607271048,112.501859664917,ms,diagnostic,message header/source,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271048/log/perception.log.INFO.20260727-104627.122675,stable target Fusion observations,available,medium-high: target ID continuity checked
L2,Did update continuity or freshness degrade?,data_age_target_at_t2_data_observed_ms,202607271048,300.3580570220947,ms,data-derived,wall/header aligned,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271048/log/perception.log.INFO.20260727-104627.122675,last target source timestamp preceding physical t2,available,medium: source/header semantics from parser
L3,How long from target source to sustained physical response?,T_e2e_data_observed_ms,202607271048,300.3580570220947,ms,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271048/log/localization.log.INFO.20260727-104620.122662,t2_wall_s - t1_wall_s; t1 also uses Fusion source timestamp,available,high: common wall time and fixed endpoints
L4,Was the independently derived 0 m contact deadline missed?,tau_dynamic_data_derived_ms,202607271048,504.6235461644878,ms,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271048/log/localization.log.INFO.20260727-104620.122662,(D1 - full observed D_brake) / v1,available,medium-high: same-run full-stop braking envelope
L4,What does a baseline-calibrated independent deadline predict?,tau_dynamic_model_predicted_ms,202607271048,498.52166905215006,ms,model-predicted,wall,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_six_layer_analysis/tables/run_level_model_predicted.csv,baseline median effective-deceleration model,available,medium: descriptive in-sample calibration
L5,How much distance was consumed before physical response?,D_delay_wall_integral_data_observed_m,202607271048,5.25441554093497,m,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271048/log/localization.log.INFO.20260727-104620.122662,trapezoidal integral of speed from t1 to t2,available,high: common wall-clock integration
L5,How much incremental distance was traveled after the data-derived deadline?,D_distance_debt_data_derived_m,202607271048,0.0,m,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271048/log/localization.log.INFO.20260727-104620.122662,trapezoidal integral from t_deadline to t2,available,medium-high: observed full-stop deadline
L6,What physical safety outcome was observed?,outcome_data_observed,202607271048,safe_stop,category,direct observed,wall/sim evidence separated,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271048/log/localization.log.INFO.20260727-104620.122662,CollisionSensor/actor history for collisions; braking endpoint and event absence for stops,available,MEDIUM_HIGH_STOP_TRAJECTORY_NO_ACTOR_HISTORY
L1,What temporal disturbance entered the closed loop?,bridge_delay_actual_wall_data_observed_ms,202607271054,0.069502,ms,direct observed,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271054/log/scb_control_delay_20260727105058_311740.csv,SCB requested/actual delay and lifecycle rows,available,high: independent bridge/SCB log
L2,Did update continuity or freshness degrade?,target_gap_max_ms,202607271054,116.79315567016602,ms,diagnostic,message header/source,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271054/log/perception.log.INFO.20260727-105124.176848,stable target Fusion observations,available,medium-high: target ID continuity checked
L2,Did update continuity or freshness degrade?,data_age_target_at_t2_data_observed_ms,202607271054,299.9768257141113,ms,data-derived,wall/header aligned,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271054/log/perception.log.INFO.20260727-105124.176848,last target source timestamp preceding physical t2,available,medium: source/header semantics from parser
L3,How long from target source to sustained physical response?,T_e2e_data_observed_ms,202607271054,299.9768257141113,ms,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271054/log/localization.log.INFO.20260727-105117.176834,t2_wall_s - t1_wall_s; t1 also uses Fusion source timestamp,available,high: common wall time and fixed endpoints
L4,Was the independently derived 0 m contact deadline missed?,tau_dynamic_data_derived_ms,202607271054,456.0916344175206,ms,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271054/log/localization.log.INFO.20260727-105117.176834,(D1 - full observed D_brake) / v1,available,medium-high: same-run full-stop braking envelope
L4,What does a baseline-calibrated independent deadline predict?,tau_dynamic_model_predicted_ms,202607271054,465.2471517441111,ms,model-predicted,wall,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_six_layer_analysis/tables/run_level_model_predicted.csv,baseline median effective-deceleration model,available,medium: descriptive in-sample calibration
L5,How much distance was consumed before physical response?,D_delay_wall_integral_data_observed_m,202607271054,5.3671294775498595,m,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271054/log/localization.log.INFO.20260727-105117.176834,trapezoidal integral of speed from t1 to t2,available,high: common wall-clock integration
L5,How much incremental distance was traveled after the data-derived deadline?,D_distance_debt_data_derived_m,202607271054,0.0,m,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271054/log/localization.log.INFO.20260727-105117.176834,trapezoidal integral from t_deadline to t2,available,medium-high: observed full-stop deadline
L6,What physical safety outcome was observed?,outcome_data_observed,202607271054,safe_stop,category,direct observed,wall/sim evidence separated,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271054/log/localization.log.INFO.20260727-105117.176834,CollisionSensor/actor history for collisions; braking endpoint and event absence for stops,available,MEDIUM_HIGH_STOP_TRAJECTORY_NO_ACTOR_HISTORY
L1,What temporal disturbance entered the closed loop?,bridge_delay_actual_wall_data_observed_ms,202607271059,0.067998,ms,direct observed,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271059/log/scb_control_delay_20260727105718_147327.csv,SCB requested/actual delay and lifecycle rows,available,high: independent bridge/SCB log
L2,Did update continuity or freshness degrade?,target_gap_max_ms,202607271059,117.523193359375,ms,diagnostic,message header/source,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271059/log/perception.log.INFO.20260727-105743.231975,stable target Fusion observations,available,medium-high: target ID continuity checked
L2,Did update continuity or freshness degrade?,data_age_target_at_t2_data_observed_ms,202607271059,299.99494552612305,ms,data-derived,wall/header aligned,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271059/log/perception.log.INFO.20260727-105743.231975,last target source timestamp preceding physical t2,available,medium: source/header semantics from parser
L3,How long from target source to sustained physical response?,T_e2e_data_observed_ms,202607271059,399.7499942779541,ms,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271059/log/localization.log.INFO.20260727-105737.231932,t2_wall_s - t1_wall_s; t1 also uses Fusion source timestamp,available,high: common wall time and fixed endpoints
L4,Was the independently derived 0 m contact deadline missed?,tau_dynamic_data_derived_ms,202607271059,566.5569909545137,ms,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271059/log/localization.log.INFO.20260727-105737.231932,(D1 - full observed D_brake) / v1,available,medium-high: same-run full-stop braking envelope
L4,What does a baseline-calibrated independent deadline predict?,tau_dynamic_model_predicted_ms,202607271059,566.5569909545137,ms,model-predicted,wall,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_six_layer_analysis/tables/run_level_model_predicted.csv,baseline median effective-deceleration model,available,medium: descriptive in-sample calibration
L5,How much distance was consumed before physical response?,D_delay_wall_integral_data_observed_m,202607271059,7.005683189973678,m,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271059/log/localization.log.INFO.20260727-105737.231932,trapezoidal integral of speed from t1 to t2,available,high: common wall-clock integration
L5,How much incremental distance was traveled after the data-derived deadline?,D_distance_debt_data_derived_m,202607271059,0.0,m,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271059/log/localization.log.INFO.20260727-105737.231932,trapezoidal integral from t_deadline to t2,available,medium-high: observed full-stop deadline
L6,What physical safety outcome was observed?,outcome_data_observed,202607271059,safe_stop,category,direct observed,wall/sim evidence separated,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271059/log/localization.log.INFO.20260727-105737.231932,CollisionSensor/actor history for collisions; braking endpoint and event absence for stops,available,MEDIUM_HIGH_STOP_TRAJECTORY_NO_ACTOR_HISTORY
L1,What temporal disturbance entered the closed loop?,bridge_delay_actual_wall_data_observed_ms,202607271104,0.067633,ms,direct observed,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271104/log/scb_control_delay_20260727110213_588586.csv,SCB requested/actual delay and lifecycle rows,available,high: independent bridge/SCB log
L2,Did update continuity or freshness degrade?,target_gap_max_ms,202607271104,297.60193824768066,ms,diagnostic,message header/source,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271104/log/perception.log.INFO.20260727-110240.286153,stable target Fusion observations,available,medium-high: target ID continuity checked
L2,Did update continuity or freshness degrade?,data_age_target_at_t2_data_observed_ms,202607271104,299.61419105529785,ms,data-derived,wall/header aligned,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271104/log/perception.log.INFO.20260727-110240.286153,last target source timestamp preceding physical t2,available,medium: source/header semantics from parser
L3,How long from target source to sustained physical response?,T_e2e_data_observed_ms,202607271104,399.6460437774658,ms,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271104/log/localization.log.INFO.20260727-110232.286141,t2_wall_s - t1_wall_s; t1 also uses Fusion source timestamp,available,high: common wall time and fixed endpoints
L4,Was the independently derived 0 m contact deadline missed?,tau_dynamic_data_derived_ms,202607271104,639.0472248294475,ms,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271104/log/localization.log.INFO.20260727-110232.286141,(D1 - full observed D_brake) / v1,available,medium-high: same-run full-stop braking envelope
L4,What does a baseline-calibrated independent deadline predict?,tau_dynamic_model_predicted_ms,202607271104,578.0343841823385,ms,model-predicted,wall,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_six_layer_analysis/tables/run_level_model_predicted.csv,baseline median effective-deceleration model,available,medium: descriptive in-sample calibration
L5,How much distance was consumed before physical response?,D_delay_wall_integral_data_observed_m,202607271104,6.935600898780944,m,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271104/log/localization.log.INFO.20260727-110232.286141,trapezoidal integral of speed from t1 to t2,available,high: common wall-clock integration
L5,How much incremental distance was traveled after the data-derived deadline?,D_distance_debt_data_derived_m,202607271104,0.0,m,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271104/log/localization.log.INFO.20260727-110232.286141,trapezoidal integral from t_deadline to t2,available,medium-high: observed full-stop deadline
L6,What physical safety outcome was observed?,outcome_data_observed,202607271104,safe_stop,category,direct observed,wall/sim evidence separated,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271104/log/localization.log.INFO.20260727-110232.286141,CollisionSensor/actor history for collisions; braking endpoint and event absence for stops,available,MEDIUM_HIGH_STOP_TRAJECTORY_NO_ACTOR_HISTORY
L1,What temporal disturbance entered the closed loop?,bridge_delay_actual_wall_data_observed_ms,202607271108,0.091174,ms,direct observed,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271108/log/scb_control_delay_20260727110642_628311.csv,SCB requested/actual delay and lifecycle rows,available,high: independent bridge/SCB log
