claim_id,layer,run_id_or_group,proposition,prerequisite_claim_ids,required_evidence_classes,supporting_evidence_ids,challenging_evidence_ids,defeater_ids,inference_rule_id,verdict,confidence,confidence_ceiling,maximum_claim_level,residual_uncertainty,allowed_language,forbidden_language,causal_lineage_grade,deadline_basis,gate_criterion,critical_claim
P_CLOCK.fault_signature,P_CLOCK,all_runs,Fault-signature timing is comparable in its local clock domain.,,OBSERVED_DERIVED,EV.CLOCK.FAULT,,,IR-P-CLOCK,PASS,HIGH,HIGH,2,Cross-host stages are outside this scoped prerequisite.,The local Bridge/SCB disturbance timing is usable.,All cross-host stage clocks are globally verified.,,,,TRUE
P_CLOCK.cross_host,P_CLOCK,all_runs,Cross-host stage timestamps are aligned with bounded offset and drift.,,TRACE_LINEAGE,EV.CLOCK.CROSS_HOST,,D_CLOCK.CROSS_HOST.1,IR-P-CLOCK,PARTIAL_PASS,MEDIUM,MEDIUM,2,"No dual-clock history, offset/drift estimate, or phase scan.",Cross-host timing provides medium-confidence temporal association.,Cross-host stage differences are high-confidence causal delays.,,,,TRUE
P_TARGET.all_runs,P_TARGET,all_runs,The same relevant physical target is tracked across the chain.,,TRACE_LINEAGE,EV.PTARGET.202607271031|EV.PTARGET.202607271048|EV.PTARGET.202607271054|EV.PTARGET.202607271059|EV.PTARGET.202607271104|EV.PTARGET.202607271108|EV.PTARGET.202607271113|EV.PTARGET.202607271131|EV.PTARGET.202607271202|EV.PTARGET.202607271206|EV.PTARGET.202607271211|EV.PTARGET.202607271643,,D_TARGET_MISMATCH.CHAIN.2,IR-P-TARGET,PARTIAL_PASS,MEDIUM,MEDIUM,2,No explicit end-to-end target lineage.,Target IDs/presence support a qualified target association.,Target identity is proven end to end.,,,,TRUE
P_FUNC.all_runs,P_FUNC,all_runs,Relevant functional behavior is qualified and does not independently explain outcomes.,P_TARGET.all_runs,OBSERVED_DERIVED,EV.PFUNC.202607271031|EV.PFUNC.202607271048|EV.PFUNC.202607271054|EV.PFUNC.202607271059|EV.PFUNC.202607271104|EV.PFUNC.202607271108|EV.PFUNC.202607271113|EV.PFUNC.202607271131|EV.PFUNC.202607271202|EV.PFUNC.202607271206|EV.PFUNC.202607271211|EV.PFUNC.202607271643,,D_FUNCTIONAL_FAILURE.CHAIN.3|D_SOLVER_FALLBACK.CHAIN.4,IR-P-FUNC,PARTIAL,MEDIUM,MEDIUM,2,Control payload/command continuity and target-specific Planning correctness are not archived.,"Functional-chain presence is observed, but functional correctness remains partial.","functionally correct, temporally wrong|功能正确但时间错误",,,,TRUE
P_DEADLINE.all_runs,P_DEADLINE,all_runs,An independently qualified scenario-dependent timing requirement is available.,P_TARGET.all_runs,INDEPENDENT_REQUIREMENT,EV.L4.TAU_RETRO.202607271031|EV.L4.TAU_RETRO.202607271048|EV.L4.TAU_RETRO.202607271054|EV.L4.TAU_RETRO.202607271059|EV.L4.TAU_RETRO.202607271104|EV.L4.TAU_RETRO.202607271108|EV.L4.TAU_RETRO.202607271113|EV.L4.TAU_RETRO.202607271131|EV.L4.TAU_RETRO.202607271202|EV.L4.TAU_RETRO.202607271206|EV.L4.TAU_RETRO.202607271211|EV.L4.TAU_RETRO.202607271643|EV.L4.TAU_MODEL.202607271031|EV.L4.TAU_MODEL.202607271048|EV.L4.TAU_MODEL.202607271054|EV.L4.TAU_MODEL.202607271059|EV.L4.TAU_MODEL.202607271104|EV.L4.TAU_MODEL.202607271108|EV.L4.TAU_MODEL.202607271113|EV.L4.TAU_MODEL.202607271131|EV.L4.TAU_MODEL.202607271202|EV.L4.TAU_MODEL.202607271206|EV.L4.TAU_MODEL.202607271211|EV.L4.TAU_MODEL.202607271643,,D_DEADLINE.PROVENANCE.5,IR-P-DEADLINE,NOT_TESTABLE,LOW,LOW,1,Available deadlines are retrospective reconstructions or unvalidated model outputs.,A retrospective/model timing budget is available for sensitivity analysis.,The physical safety deadline was independently observed/qualified.,,RETROSPECTIVE_AND_UNVALIDATED_MODEL,,TRUE
C1.all_runs,L1,all_runs,A declared temporal disturbance entered the closed loop with characterized scope.,P_CLOCK.fault_signature,DIRECT_OBSERVED,EV.L1.DELAY.202607271031|EV.L1.DELAY.202607271048|EV.L1.DELAY.202607271054|EV.L1.DELAY.202607271059|EV.L1.DELAY.202607271104|EV.L1.DELAY.202607271108|EV.L1.DELAY.202607271113|EV.L1.DELAY.202607271131|EV.L1.DELAY.202607271202|EV.L1.DELAY.202607271206|EV.L1.DELAY.202607271211|EV.L1.DELAY.202607271643,,,IR-C1,PASS,HIGH,HIGH,3,"The intervention is external Bridge/SCB injection, not an intrinsic Apollo defect.",The injected temporal disturbance is directly verified.,Apollo intrinsically introduced the same disturbance.,,,,TRUE
C2.all_runs,L2,all_runs,Timing behavior degraded relative to a declared reference or nominal distribution.,C1.all_runs|P_CLOCK.cross_host,OBSERVED_DERIVED,EV.L2.TR.202607271031|EV.L2.TR.202607271048|EV.L2.TR.202607271054|EV.L2.TR.202607271059|EV.L2.TR.202607271104|EV.L2.TR.202607271108|EV.L2.TR.202607271113|EV.L2.TR.202607271131|EV.L2.TR.202607271202|EV.L2.TR.202607271206|EV.L2.TR.202607271211|EV.L2.TR.202607271643|EV.L2.GAP_MAX.202607271031|EV.L2.GAP_MAX.202607271048|EV.L2.GAP_MAX.202607271054|EV.L2.GAP_MAX.202607271059|EV.L2.GAP_MAX.202607271104|EV.L2.GAP_MAX.202607271108|EV.L2.GAP_MAX.202607271113|EV.L2.GAP_MAX.202607271131|EV.L2.GAP_MAX.202607271202|EV.L2.GAP_MAX.202607271206|EV.L2.GAP_MAX.202607271211|EV.L2.GAP_MAX.202607271643,,D_UPDATE_GAP.REFERENCE.6|D_PHASE.UNTESTED.7,IR-C2,PARTIAL_PASS,MEDIUM,MEDIUM,2,"Physical T_R shifts are observed, but update-gap evidence lacks a qualified reference/distribution and phase was not scanned.",Observed T_R and gap values characterize possible temporal degradation.,A single maximum gap proves group-wide degradation.,,,,TRUE
C3.all_runs,L3,all_runs,Timing degradation propagated along the relevant cause-effect chain.,C1.all_runs|C2.all_runs|P_CLOCK.cross_host|P_TARGET.all_runs,TRACE_LINEAGE,EV.LINEAGE.ALIGNMENT|EV.CLOCK.CROSS_HOST,,D_CLOCK.CROSS_HOST.8|D_TARGET_MISMATCH.CHAIN.9|D_PHASE.UNTESTED.10,IR-C3,PARTIAL_PASS,MEDIUM,MEDIUM,2,Lineage is grade C temporal alignment; explicit trace/provenance lineage is absent.,The evidence supports temporal association across the chain.,Cause-effect temporal propagation is strongly established.,C,,,TRUE
C4.all_runs,L4,all_runs,Observed physical Reaction Time exceeded an independently qualified requirement.,C3.all_runs|P_CLOCK.cross_host|P_TARGET.all_runs|P_DEADLINE.all_runs,INDEPENDENT_REQUIREMENT|OBSERVED_DERIVED,EV.L2.TR.202607271031|EV.L2.TR.202607271048|EV.L2.TR.202607271054|EV.L2.TR.202607271059|EV.L2.TR.202607271104|EV.L2.TR.202607271108|EV.L2.TR.202607271113|EV.L2.TR.202607271131|EV.L2.TR.202607271202|EV.L2.TR.202607271206|EV.L2.TR.202607271211|EV.L2.TR.202607271643|EV.L4.TAU_RETRO.202607271031|EV.L4.TAU_RETRO.202607271048|EV.L4.TAU_RETRO.202607271054|EV.L4.TAU_RETRO.202607271059|EV.L4.TAU_RETRO.202607271104|EV.L4.TAU_RETRO.202607271108|EV.L4.TAU_RETRO.202607271113|EV.L4.TAU_RETRO.202607271131|EV.L4.TAU_RETRO.202607271202|EV.L4.TAU_RETRO.202607271206|EV.L4.TAU_RETRO.202607271211|EV.L4.TAU_RETRO.202607271643|EV.L4.TAU_MODEL.202607271031|EV.L4.TAU_MODEL.202607271048|EV.L4.TAU_MODEL.202607271054|EV.L4.TAU_MODEL.202607271059|EV.L4.TAU_MODEL.202607271104|EV.L4.TAU_MODEL.202607271108|EV.L4.TAU_MODEL.202607271113|EV.L4.TAU_MODEL.202607271131|EV.L4.TAU_MODEL.202607271202|EV.L4.TAU_MODEL.202607271206|EV.L4.TAU_MODEL.202607271211|EV.L4.TAU_MODEL.202607271643,,D_DEADLINE.PROVENANCE.11,IR-C4,NOT_TESTABLE,LOW,LOW,1,No independent requirement; retrospective and unvalidated-model comparisons cannot establish primary failure.,Retrospective/model evidence suggests possible deadline misses in sensitivity analysis.,A primary observed temporal correctness failure is established.,,RETROSPECTIVE_AND_UNVALIDATED_MODEL,,TRUE
C5.all_runs,L5,all_runs,A qualified timing violation caused quantifiable extra physical-space consumption.,C4.all_runs|P_CLOCK.cross_host,REQUIREMENT_CONSTRAINED_DERIVED,EV.L5.D_RESPONSE.202607271031|EV.L5.D_RESPONSE.202607271048|EV.L5.D_RESPONSE.202607271054|EV.L5.D_RESPONSE.202607271059|EV.L5.D_RESPONSE.202607271104|EV.L5.D_RESPONSE.202607271108|EV.L5.D_RESPONSE.202607271113|EV.L5.D_RESPONSE.202607271131|EV.L5.D_RESPONSE.202607271202|EV.L5.D_RESPONSE.202607271206|EV.L5.D_RESPONSE.202607271211|EV.L5.D_RESPONSE.202607271643|EV.L5.DEBT_MODEL.202607271031|EV.L5.DEBT_MODEL.202607271048|EV.L5.DEBT_MODEL.202607271054|EV.L5.DEBT_MODEL.202607271059|EV.L5.DEBT_MODEL.202607271104|EV.L5.DEBT_MODEL.202607271108|EV.L5.DEBT_MODEL.202607271113|EV.L5.DEBT_MODEL.202607271131|EV.L5.DEBT_MODEL.202607271202|EV.L5.DEBT_MODEL.202607271206|EV.L5.DEBT_MODEL.202607271211|EV.L5.DEBT_MODEL.202607271643,,D_BRAKING_CAPABILITY.MODEL.12|D_GEOMETRY.COMPARABILITY.13,IR-C5,MODEL_SUPPORTED_ONLY,LOW,LOW,2,"D_response is observed, but deadline-excess debt is model-tainted and the primary requirement is unavailable.",Observed response distance plus model evidence supports a possible physical propagation mechanism.,Observed primary Distance Debt is established.,,UNVALIDATED_MODEL,,TRUE
C6.all_runs,L6,all_runs,Physical safety margin and/or observed outcome degraded across the experiment.,,DIRECT_OBSERVED,EV.L6.OUTCOME.202607271031|EV.L6.OUTCOME.202607271048|EV.L6.OUTCOME.202607271054|EV.L6.OUTCOME.202607271059|EV.L6.OUTCOME.202607271104|EV.L6.OUTCOME.202607271108|EV.L6.OUTCOME.202607271113|EV.L6.OUTCOME.202607271131|EV.L6.OUTCOME.202607271202|EV.L6.OUTCOME.202607271206|EV.L6.OUTCOME.202607271211|EV.L6.OUTCOME.202607271643,,D_GEOMETRY.COMPARABILITY.14,IR-C6,PASS,MEDIUM,MEDIUM,3,"Geometry/initial-state variation limits precise causal attribution, not the directly observed outcomes.",Safe-stop/collision outcomes and physical margins are directly observed.,Observed collision alone proves a temporal failure.,,,,TRUE
C7.all_runs,ATTRIBUTION,all_runs,Physical degradation is attributable to temporal correctness degradation at a declared strength.,C1.all_runs|C2.all_runs|C3.all_runs|C4.all_runs|C5.all_runs|C6.all_runs|P_FUNC.all_runs,DIRECT_OBSERVED,EV.L6.OUTCOME.202607271031|EV.L6.OUTCOME.202607271048|EV.L6.OUTCOME.202607271054|EV.L6.OUTCOME.202607271059|EV.L6.OUTCOME.202607271104|EV.L6.OUTCOME.202607271108|EV.L6.OUTCOME.202607271113|EV.L6.OUTCOME.202607271131|EV.L6.OUTCOME.202607271202|EV.L6.OUTCOME.202607271206|EV.L6.OUTCOME.202607271211|EV.L6.OUTCOME.202607271643,,D_INITIAL_CLEARANCE.C7.all_runs|D_INITIAL_SPEED.C7.all_runs|D_BRAKING_CAPABILITY.C7.all_runs|D_FUNCTIONAL_FAILURE.C7.all_runs|D_TARGET_MISMATCH.C7.all_runs|D_DATA_FRESHNESS.C7.all_runs|D_UPDATE_GAP.C7.all_runs|D_SOLVER_FALLBACK.C7.all_runs|D_CLOCK.C7.all_runs|D_PHASE.C7.all_runs|D_PREHAZARD_STATE.C7.all_runs|D_GEOMETRY.C7.all_runs|D_OUTCOME_CONFLICT.C7.all_runs|D_DEADLINE.C7.all_runs,IR-C7,PARTIAL_PASS,LOW,LOW,2,"Strong L1/L6 do not close weak C4/L5; functional, deadline, clock, target, and pre-hazard alternatives remain.",The data support a temporal association and model-supported propagation mechanism.,Timing was the sole or dominant cause; the complete six-layer chain is proven.,,,,TRUE
